date,country,variant,new_cases,new_deaths,hospitalized
2020-04-09,Germany,Omicron,514,8,1449
2020-04-10,USA,XBB,491,9,3768
2020-04-11,Canada,Omicron,539,9,1414
2020-04-12,USA,XBB,468,16,71
2020-04-13,Germany,Alpha,524,8,4185
2020-04-14,USA,BA.5,500,13,922
2020-04-15,USA,Delta,515,11,1767
2020-04-16,USA,BA.5,495,15,4283
2020-04-17,Germany,XBB,494,10,4190
2020-04-18,USA,Delta,549,7,870
2020-04-19,Canada,BA.5,526,14,933
2020-04-20,Canada,XBB,517,16,2065
2020-04-21,Brazil,BA.5,503,5,534
2020-04-22,Brazil,XBB,489,15,3370
2020-04-23,Brazil,Omicron,469,9,519
2020-04-24,Brazil,Omicron,490,4,3002
2020-04-25,Canada,Alpha,502,11,3501
2020-04-26,Brazil,Delta,485,8,4278
2020-04-27,India,Omicron,497,10,3458
2020-04-28,Germany,XBB,488,9,1355
2020-04-29,Germany,BA.5,504,6,4386
2020-04-30,Canada,Alpha,500,10,1666
2020-05-01,Germany,BA.5,537,6,4915
2020-05-02,Germany,BA.5,519,11,3114
2020-05-03,USA,Delta,525,13,3680
2020-05-04,Brazil,BA.5,484,10,2073
2020-05-05,Brazil,Delta,520,8,1771
2020-05-06,USA,XBB,529,17,945
2020-05-07,Canada,BA.5,510,19,2420
2020-05-08,India,BA.5,526,7,810
2020-05-09,Canada,BA.5,496,10,883
2020-05-10,India,XBB,508,9,1307
2020-05-11,India,Omicron,471,8,2351
2020-05-12,USA,Omicron,502,16,4787
2020-05-13,Canada,XBB,481,11,846
2020-05-14,Brazil,Alpha,493,8,2468
2020-05-15,Canada,Alpha,463,9,3222
2020-05-16,Canada,Delta,525,16,579
2020-05-17,India,XBB,496,8,767
2020-05-18,India,Alpha,547,10,2164
2020-05-19,Brazil,Delta,515,13,4434
2020-05-20,Brazil,BA.5,484,11,803
2020-05-21,India,BA.5,506,10,682
2020-05-22,Canada,Alpha,470,13,2644
2020-05-23,India,Delta,514,18,856
2020-05-24,Germany,Delta,471,11,4845
2020-05-25,Germany,Omicron,536,8,2245
2020-05-26,India,Alpha,495,9,29
2020-05-27,Brazil,Omicron,486,10,2912
2020-05-28,India,XBB,496,9,1956
2020-05-29,Canada,Delta,491,11,667
2020-05-30,Germany,Omicron,467,2,1373
2020-05-31,USA,Delta,479,7,4734
2020-06-01,Brazil,XBB,497,13,4791
2020-06-02,USA,Omicron,500,4,2495
2020-06-03,Brazil,XBB,476,19,3662
2020-06-04,USA,Delta,532,6,722
2020-06-05,USA,Delta,552,8,1972
2020-06-06,India,BA.5,507,8,3298
2020-06-07,Brazil,Delta,475,8,1547
2020-06-08,Germany,BA.5,499,9,1547
2020-06-09,USA,XBB,487,7,1877
2020-06-10,India,Alpha,494,12,4313
2020-06-11,Canada,XBB,504,7,1517
2020-06-12,Brazil,BA.5,476,8,3583
2020-06-13,Brazil,Alpha,489,6,2822
2020-06-14,Germany,BA.5,507,10,242
2020-06-15,USA,Delta,530,7,1978
2020-06-16,India,BA.5,473,7,4712
2020-06-17,USA,Alpha,495,8,2795
2020-06-18,India,BA.5,524,7,4383
2020-06-19,Germany,Omicron,498,7,4526
2020-06-20,USA,Omicron,494,16,1670
2020-06-21,Canada,XBB,552,14,3059
2020-06-22,Germany,XBB,504,12,4654
2020-06-23,Germany,Alpha,536,13,4175
2020-06-24,Brazil,BA.5,530,9,2994
2020-06-25,India,Delta,513,8,2487
2020-06-26,USA,Alpha,496,4,2297
2020-06-27,India,Alpha,495,11,1450
2020-06-28,Germany,Alpha,510,6,2198
2020-06-29,USA,XBB,485,8,2188
2020-06-30,Canada,Alpha,517,9,4140
2020-07-01,India,BA.5,466,9,1735
2020-07-02,India,Alpha,511,4,1457
2020-07-03,Canada,Delta,457,9,3285
2020-07-04,Germany,Alpha,511,9,4206
2020-07-05,India,XBB,464,9,3443
2020-07-06,Brazil,XBB,499,10,3789
2020-07-07,Brazil,Delta,504,11,3012
2020-07-08,USA,Alpha,539,13,2462
2020-07-09,Canada,Alpha,522,7,1845
2020-07-10,Germany,Alpha,497,13,2248
2020-07-11,Brazil,XBB,477,5,519
2020-07-12,USA,Alpha,485,14,2315
2020-07-13,USA,XBB,515,8,4026
2020-07-14,India,XBB,517,9,3012
2020-07-15,Germany,BA.5,514,12,2998
2020-07-16,Brazil,Omicron,516,6,3103
2020-07-17,Canada,XBB,509,12,409
2020-07-18,India,Omicron,478,8,1917
2020-07-19,Brazil,BA.5,516,11,3464
2020-07-20,USA,Omicron,482,12,1273
2020-07-21,Canada,Omicron,521,4,1152
2020-07-22,USA,Delta,518,8,4238
2020-07-23,India,Delta,510,10,2529
2020-07-24,Canada,Omicron,476,8,2138
2020-07-25,Canada,XBB,518,13,7
2020-07-26,India,Alpha,492,8,1541
2020-07-27,USA,Alpha,496,12,3947
2020-07-28,Canada,BA.5,537,11,1651
2020-07-29,Germany,XBB,493,13,1447
2020-07-30,Germany,Omicron,456,8,931
2020-07-31,USA,Delta,462,6,3148
2020-08-01,Canada,Alpha,499,7,2890
2020-08-02,USA,Omicron,531,10,2291
2020-08-03,Germany,Alpha,502,11,198
2020-08-04,Canada,Delta,499,5,4972
2020-08-05,Canada,Delta,512,9,1406
2020-08-06,USA,XBB,464,12,3806
2020-08-07,Canada,Omicron,523,12,1347
2020-08-08,USA,Omicron,487,8,355
2020-08-09,Brazil,BA.5,523,14,805
2020-08-10,Brazil,BA.5,503,4,4918
2020-08-11,Germany,Delta,521,11,3424
2020-08-12,Germany,XBB,476,5,3018
2020-08-13,India,Omicron,480,9,4879
2020-08-14,Brazil,XBB,528,5,1964
2020-08-15,Brazil,Delta,491,9,3507
2020-08-16,India,Delta,529,13,1816
2020-08-17,USA,BA.5,495,6,345
2020-08-18,Brazil,BA.5,526,14,210
2020-08-19,Brazil,Omicron,502,9,1840
2020-08-20,Germany,XBB,500,5,821
2020-08-21,India,Delta,507,13,3135
2020-08-22,India,BA.5,506,11,3629
2020-08-23,Germany,XBB,512,9,1024
2020-08-24,Brazil,Delta,541,12,3298
2020-08-25,Canada,XBB,500,9,717
2020-08-26,India,Alpha,495,6,4204
2020-08-27,Brazil,Alpha,504,8,4212
2020-08-28,USA,BA.5,472,7,2227
2020-08-29,India,Alpha,460,15,585
2020-08-30,Germany,Delta,505,13,3645
2020-08-31,India,BA.5,488,18,1947
2020-09-01,Germany,XBB,490,8,2825
2020-09-02,USA,Omicron,479,15,4889
2020-09-03,Brazil,Alpha,473,8,30
2020-09-04,Germany,Alpha,507,11,1695
2020-09-05,Germany,BA.5,512,6,3270
2020-09-06,USA,Delta,515,6,2119
2020-09-07,Canada,Alpha,523,12,494
2020-09-08,India,XBB,523,3,2844
2020-09-09,Canada,Delta,526,18,2804
2020-09-10,India,Alpha,511,9,3517
2020-09-11,USA,Alpha,447,10,4214
2020-09-12,USA,XBB,494,9,4777
2020-09-13,Canada,Alpha,461,4,2395
2020-09-14,USA,Delta,483,14,4255
2020-09-15,Brazil,Omicron,471,5,4258
2020-09-16,Canada,Omicron,540,15,3978
2020-09-17,Germany,Alpha,531,9,1670
2020-09-18,Germany,BA.5,518,14,3446
2020-09-19,USA,Delta,451,9,631
2020-09-20,USA,Omicron,502,15,251
2020-09-21,India,BA.5,474,18,1417
2020-09-22,Canada,Omicron,505,10,2906
2020-09-23,Canada,BA.5,500,7,69
2020-09-24,Brazil,Alpha,534,6,646
2020-09-25,Germany,BA.5,476,11,4395
2020-09-26,Germany,Alpha,485,12,913
2020-09-27,Brazil,BA.5,524,10,588
2020-09-28,India,BA.5,533,9,2937
2020-09-29,Brazil,BA.5,508,3,2577
2020-09-30,India,Delta,465,10,3261
2020-10-01,India,Omicron,516,11,4028
2020-10-02,India,BA.5,510,9,93
2020-10-03,USA,Alpha,529,12,2572
2020-10-04,USA,BA.5,552,15,3888
2020-10-05,India,Delta,487,14,1021
2020-10-06,Brazil,Delta,497,5,3346
2020-10-07,Brazil,Delta,513,12,3143
2020-10-08,Brazil,BA.5,491,9,464
2020-10-09,USA,BA.5,463,9,4899
2020-10-10,India,BA.5,513,9,1415
2020-10-11,Germany,Omicron,511,6,2205
2020-10-12,Brazil,BA.5,458,14,3077
2020-10-13,USA,XBB,479,8,3047
2020-10-14,Canada,Delta,492,11,4477
2020-10-15,India,BA.5,488,11,4330
2020-10-16,Brazil,Omicron,493,12,1005
2020-10-17,USA,Alpha,473,8,1175
2020-10-18,Canada,Delta,496,13,523
2020-10-19,India,BA.5,476,10,4562
2020-10-20,Germany,BA.5,506,10,1071
2020-10-21,India,Alpha,501,8,4594
2020-10-22,India,Omicron,538,8,831
2020-10-23,Brazil,XBB,491,12,4482
2020-10-24,India,Alpha,539,11,1352
2020-10-25,Canada,Omicron,495,9,4333
2020-10-26,Canada,Omicron,544,11,2994
2020-10-27,India,BA.5,499,7,421
2020-10-28,India,BA.5,530,8,1685
2020-10-29,Canada,Delta,512,11,724
2020-10-30,Canada,BA.5,491,8,2830
2020-10-31,Brazil,BA.5,498,16,4085
2020-11-01,Germany,Omicron,524,9,111
2020-11-02,Canada,BA.5,494,8,1982
2020-11-03,Germany,BA.5,496,12,1114
2020-11-04,Germany,BA.5,499,11,1148
2020-11-05,Canada,XBB,509,16,2337
2020-11-06,Brazil,XBB,501,8,1757
2020-11-07,India,Delta,493,9,2821
2020-11-08,USA,Alpha,509,8,523
2020-11-09,India,Omicron,478,7,3768
2020-11-10,USA,Delta,510,16,1941
2020-11-11,Canada,Omicron,486,12,3406
2020-11-12,India,Alpha,497,10,863
2020-11-13,India,Alpha,490,6,426
2020-11-14,USA,Delta,503,6,1373
2020-11-15,Brazil,XBB,492,12,1551
2020-11-16,Canada,XBB,517,9,1291
2020-11-17,Canada,XBB,551,9,4205
2020-11-18,Canada,BA.5,532,8,2528
2020-11-19,India,BA.5,479,5,3213
2020-11-20,Germany,Delta,475,9,2270
2020-11-21,USA,BA.5,499,8,1373
2020-11-22,India,Omicron,523,10,2852
2020-11-23,Brazil,Delta,529,10,401
2020-11-24,Brazil,Delta,509,4,657
2020-11-25,India,Alpha,481,9,640
2020-11-26,USA,Alpha,522,12,428
2020-11-27,Canada,Delta,480,13,770
2020-11-28,Canada,XBB,521,12,2860
2020-11-29,Germany,Alpha,513,9,4841
2020-11-30,India,BA.5,486,11,661
2020-12-01,Germany,Delta,514,11,604
2020-12-02,Brazil,Omicron,501,12,4967
2020-12-03,Canada,Delta,521,10,346
2020-12-04,Canada,Omicron,494,9,2832
2020-12-05,Germany,Alpha,459,6,4715
2020-12-06,India,XBB,489,6,483
2020-12-07,Germany,Omicron,484,8,906
2020-12-08,Brazil,XBB,493,10,1357
2020-12-09,India,Omicron,485,13,2186
2020-12-10,Brazil,XBB,479,10,4735
2020-12-11,India,Omicron,477,9,4642
2020-12-12,Germany,Delta,519,9,3537
2020-12-13,USA,Delta,482,10,2866
2020-12-14,Germany,Alpha,471,10,4356
2020-12-15,India,Delta,483,11,387
2020-12-16,Brazil,BA.5,503,12,672
2020-12-17,Germany,Alpha,465,12,3418
2020-12-18,India,Delta,457,8,121
2020-12-19,Brazil,Delta,486,6,2750
2020-12-20,Brazil,BA.5,489,11,259
2020-12-21,Brazil,XBB,499,15,932
2020-12-22,India,Delta,514,12,2933
2020-12-23,Brazil,Omicron,484,6,4980
2020-12-24,Brazil,XBB,489,14,2652
2020-12-25,Germany,Omicron,488,11,1408
2020-12-26,Brazil,XBB,481,10,2498
2020-12-27,USA,Omicron,503,6,2179
2020-12-28,India,Delta,505,13,1030
2020-12-29,Brazil,Omicron,485,11,2780
2020-12-30,Brazil,Delta,518,8,3128
2020-12-31,Canada,BA.5,475,6,2060
2021-01-01,Germany,Omicron,502,6,2137
2021-01-02,Brazil,Alpha,529,15,2199
2021-01-03,Germany,Alpha,507,11,691
2021-01-04,Germany,Omicron,498,7,837
2021-01-05,USA,Delta,469,8,3098
2021-01-06,India,XBB,467,14,1466
2021-01-07,USA,BA.5,516,6,437
2021-01-08,India,Omicron,461,2,414
2021-01-09,Canada,BA.5,486,7,3575
2021-01-10,USA,Delta,472,7,2803
2021-01-11,Germany,Alpha,556,7,2899
2021-01-12,Brazil,Delta,521,8,4692
2021-01-13,Canada,Delta,500,16,3676
2021-01-14,India,Omicron,483,14,3863
2021-01-15,USA,BA.5,476,13,231
2021-01-16,Canada,XBB,494,21,3395
2021-01-17,USA,BA.5,530,11,908
2021-01-18,Germany,XBB,535,9,163
2021-01-19,USA,Alpha,456,16,3372
2021-01-20,India,BA.5,493,10,2697
2021-01-21,India,XBB,489,7,2708
2021-01-22,Brazil,BA.5,454,6,2545
2021-01-23,Brazil,Delta,489,10,3919
2021-01-24,India,Alpha,462,11,501
2021-01-25,India,BA.5,527,8,1778
2021-01-26,India,Delta,470,9,4830
2021-01-27,Canada,Delta,481,11,2743
2021-01-28,USA,Alpha,467,13,764
2021-01-29,Canada,BA.5,511,8,702
2021-01-30,Germany,Omicron,496,14,380
2021-01-31,Brazil,Omicron,466,16,2766
2021-02-01,USA,Omicron,537,5,3264
2021-02-02,Brazil,Delta,494,11,1440
2021-02-03,Germany,BA.5,531,12,4592
2021-02-04,India,XBB,464,8,3786
2021-02-05,Brazil,BA.5,470,5,4197
2021-02-06,India,Alpha,505,4,719
2021-02-07,Brazil,XBB,515,5,117
2021-02-08,Germany,Alpha,495,14,4483
2021-02-09,Brazil,BA.5,552,16,2737
2021-02-10,Germany,Alpha,512,6,4092
2021-02-11,USA,Delta,516,8,4471
2021-02-12,Canada,Omicron,503,5,2445
2021-02-13,Germany,BA.5,529,6,1314
2021-02-14,Brazil,XBB,508,9,4781
2021-02-15,USA,XBB,556,9,2157
2021-02-16,Germany,Alpha,478,14,3951
2021-02-17,Brazil,Omicron,566,7,806
2021-02-18,Germany,BA.5,506,14,1524
2021-02-19,Germany,Delta,524,12,4853
2021-02-20,India,Alpha,501,10,1694
2021-02-21,Brazil,BA.5,469,5,3686
2021-02-22,Canada,BA.5,489,12,4350
2021-02-23,Germany,Omicron,511,11,791
2021-02-24,USA,XBB,473,11,234
2021-02-25,Brazil,Omicron,499,10,1137
2021-02-26,Canada,Alpha,511,6,4618
2021-02-27,Brazil,Alpha,485,15,3020
2021-02-28,Canada,Omicron,483,6,2268
2021-03-01,Canada,BA.5,506,12,4370
2021-03-02,Germany,XBB,451,12,18
2021-03-03,India,Alpha,527,7,4363
2021-03-04,Brazil,Omicron,506,15,4677
2021-03-05,USA,Alpha,487,13,3173
2021-03-06,USA,XBB,463,7,297
2021-03-07,India,Delta,484,9,4345
2021-03-08,USA,Delta,507,10,4018
2021-03-09,Brazil,BA.5,495,11,820
2021-03-10,USA,BA.5,521,8,982
2021-03-11,Brazil,Delta,485,10,3881
2021-03-12,Canada,XBB,518,5,3768
2021-03-13,Germany,Omicron,510,8,3875
2021-03-14,India,Omicron,513,11,4241
2021-03-15,India,XBB,494,6,434
2021-03-16,USA,Omicron,483,15,2451
2021-03-17,Brazil,BA.5,475,13,450
2021-03-18,Germany,Omicron,465,13,2616
2021-03-19,USA,Omicron,502,14,4975
2021-03-20,Germany,BA.5,538,9,3883
2021-03-21,Brazil,Alpha,519,17,1816
2021-03-22,USA,Delta,516,9,3647
2021-03-23,USA,Omicron,497,4,894
2021-03-24,Germany,Delta,513,16,2981
2021-03-25,USA,Delta,566,5,845
2021-03-26,Germany,XBB,498,10,2053
2021-03-27,Brazil,XBB,491,7,1839
2021-03-28,Germany,XBB,527,14,599
2021-03-29,Brazil,Alpha,507,9,4123
2021-03-30,Brazil,Alpha,491,10,4973
2021-03-31,Canada,Delta,549,7,3964
2021-04-01,Germany,Delta,521,8,449
2021-04-02,India,Delta,492,19,2302
2021-04-03,Canada,Delta,488,6,3752
2021-04-04,Canada,BA.5,531,3,755
2021-04-05,Germany,Delta,488,11,504
2021-04-06,Canada,XBB,520,10,1606
2021-04-07,Canada,Delta,525,6,2285
2021-04-08,USA,XBB,504,7,3362
2021-04-09,Brazil,XBB,462,9,4130
2021-04-10,India,Delta,489,7,3261
2021-04-11,Germany,Delta,469,13,2447
2021-04-12,USA,Omicron,498,8,1216
2021-04-13,India,XBB,471,8,4865
2021-04-14,India,Delta,492,10,4137
2021-04-15,USA,Delta,454,6,4834
2021-04-16,Germany,Omicron,503,16,2412
2021-04-17,Brazil,BA.5,479,7,1656
2021-04-18,USA,XBB,517,11,3764
2021-04-19,Canada,XBB,537,5,436
2021-04-20,India,Omicron,540,9,1458
2021-04-21,Canada,BA.5,474,13,3659
2021-04-22,Germany,Alpha,525,12,2881
2021-04-23,Brazil,Omicron,523,7,3799
2021-04-24,Brazil,Delta,521,11,4508
2021-04-25,Brazil,Delta,516,11,3305
2021-04-26,Canada,Delta,496,7,2533
2021-04-27,Germany,Alpha,518,7,2002
2021-04-28,Canada,Delta,525,9,2383
2021-04-29,India,Alpha,549,8,3323
2021-04-30,Brazil,Omicron,499,8,978
2021-05-01,Germany,Alpha,496,14,1787
2021-05-02,Canada,Delta,499,10,260
2021-05-03,Canada,XBB,493,16,3032
2021-05-04,Canada,Delta,533,13,2395
2021-05-05,Canada,Alpha,505,14,2649
2021-05-06,Canada,Alpha,525,12,4234
2021-05-07,India,BA.5,491,10,4874
2021-05-08,Brazil,BA.5,516,6,4614
2021-05-09,Canada,BA.5,475,13,345
2021-05-10,India,Delta,513,11,3950
2021-05-11,Germany,Alpha,504,10,3395
2021-05-12,Germany,BA.5,500,11,1298
2021-05-13,India,XBB,490,8,649
2021-05-14,India,Omicron,507,11,4225
2021-05-15,India,Omicron,475,4,4550
2021-05-16,Germany,BA.5,515,10,4383
2021-05-17,Canada,BA.5,502,10,4861
2021-05-18,Brazil,BA.5,515,8,1294
2021-05-19,Canada,Omicron,461,9,3595
2021-05-20,USA,BA.5,476,10,4718
2021-05-21,India,XBB,481,14,1003
2021-05-22,Canada,XBB,518,10,4807
2021-05-23,Brazil,XBB,503,12,1766
2021-05-24,Canada,XBB,476,4,182
2021-05-25,USA,Alpha,492,12,1223
2021-05-26,USA,BA.5,458,8,4218
2021-05-27,Canada,Delta,522,10,287
2021-05-28,Brazil,Alpha,452,12,777
2021-05-29,Canada,Delta,556,13,930
2021-05-30,India,Delta,523,12,2139
2021-05-31,Brazil,Alpha,510,8,991
2021-06-01,Germany,BA.5,513,10,3715
2021-06-02,Brazil,Alpha,480,7,4605
2021-06-03,Canada,Omicron,512,7,3825
2021-06-04,Canada,XBB,525,8,170
2021-06-05,Germany,Alpha,526,14,1013
2021-06-06,USA,Alpha,516,12,3739
2021-06-07,Canada,Omicron,477,11,4940
2021-06-08,USA,XBB,479,13,725
2021-06-09,USA,Delta,488,9,1178
2021-06-10,India,Omicron,515,8,52
2021-06-11,USA,BA.5,461,8,1288
2021-06-12,Brazil,Alpha,518,11,2522
2021-06-13,USA,Alpha,505,7,3890
2021-06-14,India,Omicron,482,9,4747
2021-06-15,Canada,Alpha,520,8,3851
2021-06-16,Canada,XBB,540,11,3682
2021-06-17,Germany,XBB,509,9,631
2021-06-18,USA,Omicron,531,13,2523
2021-06-19,Brazil,Omicron,475,6,4381
2021-06-20,Germany,Omicron,528,15,1834
2021-06-21,Germany,BA.5,505,10,3423
2021-06-22,India,Alpha,535,9,1337
2021-06-23,Canada,Delta,502,6,4613
2021-06-24,USA,Delta,514,11,4062
2021-06-25,USA,Delta,510,12,3828
2021-06-26,Canada,Omicron,472,10,298
2021-06-27,India,BA.5,531,9,4116
2021-06-28,India,BA.5,499,5,3787
2021-06-29,India,Delta,508,11,4619
2021-06-30,Brazil,Delta,513,17,2221
2021-07-01,USA,BA.5,490,11,178
2021-07-02,India,Omicron,476,11,2895
2021-07-03,India,Omicron,522,7,459
2021-07-04,Canada,Delta,526,4,940
2021-07-05,Germany,XBB,489,8,909
2021-07-06,Germany,Omicron,471,13,2184
2021-07-07,Germany,XBB,513,14,2305
2021-07-08,USA,Alpha,479,9,4252
2021-07-09,Brazil,Omicron,496,12,4924
2021-07-10,USA,XBB,481,11,4642
2021-07-11,Canada,Alpha,532,2,4036
2021-07-12,India,Alpha,503,9,1668
2021-07-13,USA,Delta,522,5,2987
2021-07-14,Germany,XBB,516,15,1334
2021-07-15,Brazil,Delta,506,8,1912
2021-07-16,Canada,Alpha,491,10,1604
2021-07-17,India,Omicron,503,16,2822
2021-07-18,Brazil,Omicron,543,13,3780
2021-07-19,USA,Omicron,525,14,3712
2021-07-20,USA,XBB,470,11,4488
2021-07-21,Brazil,BA.5,451,4,2355
2021-07-22,Brazil,Delta,459,10,3535
2021-07-23,India,BA.5,533,6,2670
2021-07-24,Germany,BA.5,527,5,2987
2021-07-25,Brazil,Alpha,504,11,4984
2021-07-26,India,Delta,513,15,4034
2021-07-27,Brazil,Alpha,470,7,1134
2021-07-28,Brazil,BA.5,532,15,4874
2021-07-29,Germany,Alpha,502,8,4891
2021-07-30,India,Alpha,497,9,2599
2021-07-31,USA,XBB,481,10,1770
2021-08-01,India,Delta,494,15,1034
2021-08-02,India,Delta,503,10,3403
2021-08-03,India,BA.5,467,5,4128
2021-08-04,Germany,Omicron,521,9,2052
2021-08-05,Germany,Alpha,519,13,2633
2021-08-06,Canada,Delta,502,12,2610
2021-08-07,USA,Omicron,460,11,4448
2021-08-08,Germany,Delta,508,10,192
2021-08-09,Germany,BA.5,519,12,1758
2021-08-10,India,Alpha,526,5,2151
2021-08-11,India,XBB,479,14,785
2021-08-12,Brazil,BA.5,484,7,727
2021-08-13,Brazil,BA.5,482,15,4831
2021-08-14,Brazil,BA.5,527,15,282
2021-08-15,Germany,Omicron,491,10,2234
2021-08-16,Brazil,BA.5,511,8,2534
2021-08-17,USA,XBB,483,11,4770
2021-08-18,Brazil,Alpha,508,10,4553
2021-08-19,Canada,Delta,528,14,2811
2021-08-20,Canada,Omicron,505,8,4915
2021-08-21,India,BA.5,508,7,3074
2021-08-22,Germany,Delta,531,10,2508
2021-08-23,Canada,BA.5,479,9,3732
2021-08-24,USA,Alpha,574,8,53
2021-08-25,India,XBB,524,11,1817
2021-08-26,Canada,XBB,517,9,2569
2021-08-27,Brazil,Omicron,481,11,3435
2021-08-28,Canada,Delta,460,10,1171
2021-08-29,Canada,Delta,500,14,4088
2021-08-30,India,XBB,499,9,4064
2021-08-31,Germany,Alpha,480,6,2383
2021-09-01,Brazil,Omicron,508,4,3118
2021-09-02,Brazil,BA.5,514,12,2276
2021-09-03,Brazil,Omicron,494,13,865
2021-09-04,Brazil,XBB,472,14,910
2021-09-05,Germany,BA.5,504,8,4236
2021-09-06,Brazil,Omicron,521,10,3352
2021-09-07,Germany,Alpha,530,11,44
2021-09-08,India,Delta,489,12,2331
2021-09-09,USA,BA.5,510,3,4595
2021-09-10,Germany,Omicron,482,7,4835
2021-09-11,Brazil,Alpha,535,10,3237
2021-09-12,India,Omicron,500,9,3379
2021-09-13,India,BA.5,501,11,3084
2021-09-14,Canada,Alpha,465,9,2664
2021-09-15,Canada,Delta,493,11,950
2021-09-16,USA,Alpha,481,11,2708
2021-09-17,USA,Omicron,476,12,1279
2021-09-18,Canada,Omicron,485,10,276
2021-09-19,Canada,Omicron,479,16,411
2021-09-20,India,Omicron,496,11,1234
2021-09-21,Germany,Omicron,502,5,494
2021-09-22,Canada,XBB,486,4,4177
2021-09-23,Brazil,Alpha,508,8,644
2021-09-24,Germany,Alpha,487,9,4758
2021-09-25,Germany,Alpha,502,5,1366
2021-09-26,Brazil,Alpha,468,12,4735
