date,temperature_c,humidity,condition
2022-12-26,9,78,storm
2022-12-27,11,92,snow
2022-12-28,29,78,sunny
2022-12-29,21,42,cloudy
2022-12-30,8,91,snow
2022-12-31,38,74,snow
2023-01-01,19,45,cloudy
2023-01-02,7,30,cloudy
2023-01-03,36,95,storm
2023-01-04,38,67,cloudy
2023-01-05,-7,30,snow
2023-01-06,28,32,rain
2023-01-07,-1,63,storm
2023-01-08,22,84,storm
2023-01-09,21,79,snow
2023-01-10,-3,94,sunny
2023-01-11,-8,88,snow
2023-01-12,-3,83,sunny
2023-01-13,36,96,cloudy
2023-01-14,22,37,rain
2023-01-15,24,61,cloudy
2023-01-16,5,97,storm
2023-01-17,26,83,snow
2023-01-18,3,84,rain
2023-01-19,-4,36,sunny
2023-01-20,12,48,snow
2023-01-21,8,65,snow
2023-01-22,7,31,sunny
2023-01-23,36,98,storm
2023-01-24,0,31,cloudy
2023-01-25,12,41,storm
2023-01-26,-6,66,sunny
2023-01-27,23,82,storm
2023-01-28,24,53,sunny
2023-01-29,-1,59,cloudy
2023-01-30,35,43,sunny
2023-01-31,29,95,snow
2023-02-01,14,51,cloudy
2023-02-02,35,33,rain
2023-02-03,18,66,cloudy
2023-02-04,-5,47,snow
2023-02-05,31,70,rain
2023-02-06,6,66,sunny
2023-02-07,27,56,sunny
2023-02-08,20,35,cloudy
2023-02-09,29,41,snow
2023-02-10,-4,39,snow
2023-02-11,6,55,snow
2023-02-12,17,91,rain
2023-02-13,35,93,rain
2023-02-14,32,94,cloudy
2023-02-15,25,55,snow
2023-02-16,10,40,cloudy
2023-02-17,25,88,cloudy
2023-02-18,23,84,snow
2023-02-19,22,65,storm
2023-02-20,8,91,cloudy
2023-02-21,34,55,rain
2023-02-22,-2,69,sunny
2023-02-23,-10,90,cloudy
2023-02-24,29,71,sunny
2023-02-25,28,64,cloudy
2023-02-26,39,73,cloudy
2023-02-27,19,41,cloudy
2023-02-28,26,73,cloudy
2023-03-01,38,90,sunny
2023-03-02,-1,86,sunny
2023-03-03,36,41,cloudy
2023-03-04,-3,50,sunny
2023-03-05,12,99,sunny
2023-03-06,7,41,cloudy
2023-03-07,15,55,rain
2023-03-08,5,46,rain
2023-03-09,10,36,snow
2023-03-10,-4,38,cloudy
2023-03-11,37,88,snow
2023-03-12,7,68,cloudy
2023-03-13,7,88,rain
2023-03-14,28,46,cloudy
2023-03-15,33,89,snow
2023-03-16,23,32,snow
2023-03-17,32,69,rain
2023-03-18,12,68,sunny
2023-03-19,-7,54,snow
2023-03-20,7,62,snow
2023-03-21,31,95,cloudy
2023-03-22,31,63,cloudy
2023-03-23,2,42,rain
2023-03-24,21,68,storm
2023-03-25,18,91,sunny
2023-03-26,18,91,snow
2023-03-27,33,86,storm
2023-03-28,36,39,sunny
2023-03-29,28,34,sunny
2023-03-30,19,78,cloudy
2023-03-31,34,43,rain
2023-04-01,-7,47,snow
2023-04-02,14,77,sunny
2023-04-03,35,44,sunny
2023-04-04,13,97,storm
2023-04-05,26,90,snow
2023-04-06,32,99,cloudy
2023-04-07,2,54,storm
2023-04-08,-7,88,storm
2023-04-09,18,92,snow
2023-04-10,34,86,rain
2023-04-11,30,32,snow
2023-04-12,-6,83,sunny
2023-04-13,-2,49,rain
2023-04-14,38,90,cloudy
2023-04-15,31,64,rain
2023-04-16,7,91,sunny
2023-04-17,13,32,cloudy
2023-04-18,27,42,snow
2023-04-19,36,97,snow
2023-04-20,23,40,sunny
2023-04-21,-8,58,sunny
2023-04-22,-8,54,rain
2023-04-23,1,71,sunny
2023-04-24,4,69,sunny
2023-04-25,-6,40,cloudy
2023-04-26,23,67,cloudy
2023-04-27,-6,77,rain
2023-04-28,7,99,snow
2023-04-29,37,57,snow
2023-04-30,2,69,snow
2023-05-01,21,91,snow
2023-05-02,-8,85,rain
2023-05-03,29,62,cloudy
2023-05-04,5,69,storm
2023-05-05,22,88,cloudy
2023-05-06,37,70,snow
2023-05-07,32,74,sunny
2023-05-08,31,92,cloudy
2023-05-09,27,89,snow
2023-05-10,32,74,rain
2023-05-11,20,52,rain
2023-05-12,-1,61,cloudy
2023-05-13,19,68,rain
2023-05-14,25,31,snow
2023-05-15,18,41,rain
2023-05-16,21,42,cloudy
2023-05-17,38,46,rain
2023-05-18,13,64,cloudy
2023-05-19,19,92,storm
2023-05-20,4,66,snow
2023-05-21,11,97,storm
2023-05-22,21,97,cloudy
2023-05-23,6,41,sunny
2023-05-24,-1,94,rain
2023-05-25,7,79,snow
2023-05-26,1,65,cloudy
2023-05-27,24,81,snow
2023-05-28,1,36,snow
2023-05-29,0,62,cloudy
2023-05-30,0,87,rain
2023-05-31,23,75,rain
2023-06-01,18,33,sunny
2023-06-02,24,42,sunny
2023-06-03,28,44,snow
2023-06-04,18,61,rain
2023-06-05,36,51,cloudy
2023-06-06,16,96,sunny
2023-06-07,33,85,storm
2023-06-08,18,50,snow
2023-06-09,9,35,cloudy
2023-06-10,-6,32,cloudy
2023-06-11,-10,87,storm
2023-06-12,27,44,rain
2023-06-13,24,93,sunny
2023-06-14,14,53,storm
2023-06-15,7,44,storm
2023-06-16,5,56,storm
2023-06-17,35,46,snow
2023-06-18,-3,56,rain
2023-06-19,-4,32,snow
2023-06-20,33,82,storm
2023-06-21,-8,49,sunny
2023-06-22,19,46,storm
2023-06-23,9,38,sunny
2023-06-24,11,31,cloudy
2023-06-25,2,50,rain
2023-06-26,19,93,rain
2023-06-27,35,67,cloudy
2023-06-28,34,62,storm
2023-06-29,27,70,cloudy
2023-06-30,11,80,sunny
2023-07-01,6,75,storm
2023-07-02,9,62,rain
2023-07-03,29,61,rain
2023-07-04,22,31,sunny
2023-07-05,22,59,sunny
2023-07-06,2,55,rain
2023-07-07,27,75,rain
2023-07-08,39,44,rain
2023-07-09,31,73,sunny
2023-07-10,29,90,cloudy
2023-07-11,-5,38,sunny
2023-07-12,28,61,sunny
2023-07-13,39,37,rain
2023-07-14,17,91,storm
2023-07-15,36,36,cloudy
2023-07-16,9,33,rain
2023-07-17,11,55,cloudy
2023-07-18,30,89,rain
2023-07-19,3,41,storm
2023-07-20,2,54,snow
2023-07-21,8,84,storm
2023-07-22,34,37,snow
2023-07-23,21,80,storm
2023-07-24,7,99,rain
2023-07-25,8,51,snow
2023-07-26,21,85,sunny
2023-07-27,-8,57,rain
2023-07-28,24,90,snow
2023-07-29,4,36,storm
2023-07-30,38,60,rain
2023-07-31,13,49,snow
2023-08-01,-7,49,storm
2023-08-02,13,79,sunny
2023-08-03,21,65,rain
2023-08-04,23,95,rain
2023-08-05,25,35,rain
2023-08-06,1,32,snow
2023-08-07,7,69,snow
2023-08-08,4,55,storm
2023-08-09,37,71,storm
2023-08-10,3,31,snow
2023-08-11,-6,67,snow
2023-08-12,30,91,storm
2023-08-13,36,43,sunny
2023-08-14,9,31,sunny
2023-08-15,14,57,rain
2023-08-16,24,34,sunny
2023-08-17,29,85,storm
2023-08-18,34,52,cloudy
2023-08-19,-1,96,rain
2023-08-20,18,39,storm
2023-08-21,19,30,snow
2023-08-22,9,37,cloudy
2023-08-23,1,30,sunny
2023-08-24,9,57,sunny
2023-08-25,32,66,snow
2023-08-26,1,66,sunny
2023-08-27,38,73,storm
2023-08-28,36,35,storm
2023-08-29,9,31,sunny
2023-08-30,26,49,rain
2023-08-31,18,30,cloudy
2023-09-01,-5,88,snow
2023-09-02,22,80,storm
2023-09-03,31,49,snow
2023-09-04,39,72,rain
2023-09-05,14,79,snow
2023-09-06,28,85,cloudy
2023-09-07,39,52,storm
2023-09-08,27,52,snow
2023-09-09,5,79,rain
2023-09-10,-3,30,snow
2023-09-11,21,34,rain
2023-09-12,-10,84,rain
2023-09-13,32,59,rain
2023-09-14,7,46,rain
2023-09-15,-3,76,sunny
2023-09-16,1,75,storm
2023-09-17,22,30,cloudy
2023-09-18,20,43,snow
2023-09-19,37,98,sunny
2023-09-20,15,91,storm
2023-09-21,-9,93,sunny
2023-09-22,22,70,sunny
2023-09-23,37,42,sunny
2023-09-24,2,60,sunny
2023-09-25,0,97,rain
2023-09-26,27,33,cloudy
2023-09-27,-5,42,sunny
2023-09-28,12,30,sunny
2023-09-29,10,44,sunny
2023-09-30,1,44,snow
2023-10-01,8,89,snow
2023-10-02,14,62,sunny
2023-10-03,21,64,storm
2023-10-04,27,40,cloudy
2023-10-05,-3,95,sunny
2023-10-06,-8,55,rain
2023-10-07,-5,57,snow
2023-10-08,18,55,sunny
2023-10-09,1,34,rain
2023-10-10,37,66,storm
2023-10-11,25,44,cloudy
2023-10-12,37,99,rain
2023-10-13,33,72,snow
2023-10-14,10,52,cloudy
2023-10-15,5,76,snow
2023-10-16,4,54,storm
2023-10-17,0,80,storm
2023-10-18,10,42,cloudy
2023-10-19,23,97,snow
2023-10-20,35,56,snow
2023-10-21,36,57,cloudy
2023-10-22,-3,45,rain
2023-10-23,25,59,rain
2023-10-24,-9,78,snow
2023-10-25,-7,36,storm
2023-10-26,-1,68,snow
2023-10-27,20,92,sunny
2023-10-28,31,90,rain
2023-10-29,25,97,sunny
2023-10-30,33,74,rain
2023-10-31,36,42,snow
2023-11-01,11,38,rain
2023-11-02,-2,44,rain
2023-11-03,13,71,sunny
2023-11-04,15,66,storm
2023-11-05,39,53,cloudy
2023-11-06,25,89,rain
2023-11-07,14,47,cloudy
2023-11-08,25,84,rain
2023-11-09,-6,76,sunny
2023-11-10,24,62,snow
2023-11-11,6,51,snow
2023-11-12,4,64,storm
2023-11-13,-4,61,cloudy
2023-11-14,-1,86,sunny
2023-11-15,-9,93,cloudy
2023-11-16,-4,47,cloudy
2023-11-17,31,68,sunny
2023-11-18,38,53,storm
2023-11-19,35,48,storm
2023-11-20,15,71,snow
2023-11-21,35,65,snow
2023-11-22,22,65,cloudy
2023-11-23,-2,37,sunny
2023-11-24,-5,70,storm
2023-11-25,2,78,storm
2023-11-26,-9,89,snow
2023-11-27,33,56,snow
2023-11-28,-3,79,cloudy
2023-11-29,33,87,cloudy
2023-11-30,11,99,rain
2023-12-01,12,73,rain
2023-12-02,27,64,rain
2023-12-03,12,59,storm
2023-12-04,-3,51,storm
2023-12-05,25,98,snow
2023-12-06,18,60,sunny
2023-12-07,5,91,sunny
2023-12-08,5,41,sunny
2023-12-09,5,41,storm
2023-12-10,-8,45,snow
2023-12-11,12,34,storm
2023-12-12,29,94,sunny
2023-12-13,19,50,storm
2023-12-14,-5,51,rain
2023-12-15,-3,61,sunny
2023-12-16,5,67,storm
2023-12-17,23,43,storm
2023-12-18,22,52,rain
2023-12-19,34,95,sunny
2023-12-20,10,31,cloudy
2023-12-21,-2,94,cloudy
2023-12-22,-8,81,rain
2023-12-23,-7,84,cloudy
2023-12-24,11,72,storm
2023-12-25,26,41,sunny
2023-12-26,31,67,rain
2023-12-27,34,64,rain
2023-12-28,19,35,cloudy
2023-12-29,5,36,storm
2023-12-30,3,44,snow
2023-12-31,24,95,cloudy
2024-01-01,-9,64,rain
2024-01-02,3,49,rain
2024-01-03,-1,54,rain
2024-01-04,14,83,sunny
2024-01-05,25,43,sunny
2024-01-06,35,83,snow
2024-01-07,-8,70,sunny
2024-01-08,2,37,snow
2024-01-09,23,97,sunny
2024-01-10,4,97,snow
2024-01-11,1,61,storm
2024-01-12,2,60,storm
2024-01-13,7,89,snow
2024-01-14,32,31,storm
2024-01-15,12,60,cloudy
2024-01-16,-6,63,rain
2024-01-17,14,31,cloudy
2024-01-18,39,60,sunny
2024-01-19,12,38,cloudy
2024-01-20,10,57,cloudy
2024-01-21,-4,45,storm
2024-01-22,22,33,storm
2024-01-23,28,69,sunny
2024-01-24,26,81,snow
2024-01-25,25,67,rain
2024-01-26,26,92,snow
2024-01-27,24,36,cloudy
2024-01-28,17,43,snow
2024-01-29,11,34,rain
2024-01-30,16,50,snow
2024-01-31,-1,87,snow
2024-02-01,-10,42,snow
2024-02-02,15,82,rain
2024-02-03,26,74,storm
2024-02-04,6,89,cloudy
2024-02-05,10,81,snow
2024-02-06,15,97,rain
2024-02-07,37,81,snow
2024-02-08,27,71,snow
2024-02-09,31,42,sunny
2024-02-10,30,93,sunny
2024-02-11,-2,70,sunny
2024-02-12,-9,89,snow
2024-02-13,22,39,rain
2024-02-14,29,50,storm
2024-02-15,0,63,cloudy
2024-02-16,11,78,sunny
2024-02-17,12,74,cloudy
2024-02-18,-6,61,storm
2024-02-19,-10,37,snow
2024-02-20,-3,72,sunny
2024-02-21,34,80,cloudy
2024-02-22,13,46,snow
2024-02-23,9,50,rain
2024-02-24,20,40,storm
2024-02-25,4,36,cloudy
2024-02-26,17,80,cloudy
2024-02-27,-6,34,rain
2024-02-28,27,37,sunny
2024-02-29,-2,95,rain
2024-03-01,-8,78,storm
2024-03-02,-7,70,sunny
2024-03-03,39,39,snow
2024-03-04,25,41,cloudy
2024-03-05,29,31,snow
2024-03-06,21,45,storm
2024-03-07,23,40,rain
2024-03-08,4,46,rain
2024-03-09,-2,54,cloudy
2024-03-10,3,51,storm
2024-03-11,19,73,cloudy
2024-03-12,35,50,cloudy
2024-03-13,21,68,sunny
2024-03-14,1,76,rain
2024-03-15,10,42,snow
2024-03-16,-3,75,storm
2024-03-17,21,51,cloudy
2024-03-18,14,51,storm
2024-03-19,18,42,rain
2024-03-20,-9,58,snow
2024-03-21,4,81,cloudy
2024-03-22,39,52,storm
2024-03-23,2,51,cloudy
2024-03-24,26,90,sunny
2024-03-25,-8,92,cloudy
2024-03-26,12,58,storm
2024-03-27,36,54,snow
2024-03-28,36,37,rain
2024-03-29,5,30,storm
2024-03-30,-6,32,sunny
2024-03-31,-7,93,rain
2024-04-01,23,39,snow
2024-04-02,35,56,rain
2024-04-03,30,42,sunny
2024-04-04,25,87,storm
2024-04-05,6,43,sunny
2024-04-06,23,82,sunny
2024-04-07,9,45,cloudy
2024-04-08,20,99,cloudy
2024-04-09,26,87,storm
2024-04-10,36,33,storm
2024-04-11,-1,53,cloudy
2024-04-12,15,66,snow
2024-04-13,29,50,rain
2024-04-14,27,75,storm
2024-04-15,34,49,sunny
2024-04-16,-4,33,snow
2024-04-17,3,32,snow
2024-04-18,5,87,storm
2024-04-19,-7,53,rain
2024-04-20,19,48,storm
2024-04-21,8,78,cloudy
2024-04-22,11,53,snow
2024-04-23,1,59,rain
2024-04-24,27,60,storm
2024-04-25,8,77,snow
2024-04-26,25,84,sunny
2024-04-27,22,47,storm
2024-04-28,38,76,cloudy
2024-04-29,34,62,sunny
2024-04-30,-5,33,storm
2024-05-01,37,76,cloudy
2024-05-02,4,99,storm
2024-05-03,0,38,rain
2024-05-04,5,98,sunny
2024-05-05,-1,79,cloudy
2024-05-06,2,99,sunny
2024-05-07,34,80,snow
2024-05-08,8,71,cloudy
2024-05-09,35,55,cloudy
2024-05-10,-6,93,snow
2024-05-11,9,78,snow
2024-05-12,-1,93,snow
2024-05-13,25,99,rain
2024-05-14,-7,68,rain
2024-05-15,24,30,sunny
2024-05-16,25,99,sunny
2024-05-17,35,89,storm
2024-05-18,20,53,sunny
2024-05-19,25,59,storm
2024-05-20,31,59,storm
2024-05-21,-4,64,storm
2024-05-22,3,39,rain
2024-05-23,14,99,storm
2024-05-24,-2,74,storm
2024-05-25,32,86,snow
2024-05-26,-7,79,sunny
2024-05-27,16,36,rain
2024-05-28,21,49,snow
2024-05-29,31,55,storm
2024-05-30,3,86,snow
2024-05-31,10,98,cloudy
2024-06-01,12,66,sunny
2024-06-02,8,41,sunny
2024-06-03,30,62,rain
2024-06-04,-7,62,sunny
2024-06-05,13,90,snow
2024-06-06,23,57,rain
2024-06-07,32,70,sunny
2024-06-08,6,99,rain
2024-06-09,-10,34,rain
2024-06-10,11,86,rain
2024-06-11,-1,45,cloudy
2024-06-12,28,69,storm
2024-06-13,-1,93,cloudy
2024-06-14,38,93,snow
2024-06-15,9,55,storm
2024-06-16,35,44,snow
2024-06-17,4,43,cloudy
2024-06-18,30,69,rain
2024-06-19,17,55,sunny
2024-06-20,-9,54,cloudy
2024-06-21,-3,73,sunny
2024-06-22,31,35,storm
2024-06-23,12,79,cloudy
2024-06-24,8,98,cloudy
2024-06-25,0,41,rain
2024-06-26,-3,53,storm
2024-06-27,17,70,storm
2024-06-28,26,84,sunny
2024-06-29,36,44,rain
2024-06-30,31,89,storm
2024-07-01,-5,41,rain
2024-07-02,-4,32,snow
2024-07-03,-8,56,rain
2024-07-04,32,69,sunny
2024-07-05,17,30,snow
2024-07-06,21,77,cloudy
2024-07-07,26,33,cloudy
2024-07-08,21,38,storm
2024-07-09,0,75,sunny
2024-07-10,34,50,snow
2024-07-11,23,33,storm
2024-07-12,27,88,cloudy
2024-07-13,-6,54,cloudy
2024-07-14,22,97,sunny
2024-07-15,9,63,rain
2024-07-16,-6,90,storm
2024-07-17,18,38,storm
2024-07-18,27,79,cloudy
2024-07-19,33,40,rain
2024-07-20,36,32,storm
2024-07-21,17,59,rain
2024-07-22,37,50,storm
2024-07-23,15,91,sunny
2024-07-24,10,64,storm
2024-07-25,23,70,cloudy
2024-07-26,36,87,cloudy
2024-07-27,12,77,sunny
2024-07-28,-6,40,cloudy
2024-07-29,24,62,storm
2024-07-30,5,63,rain
2024-07-31,24,69,storm
